Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1978,Chhattisgarh,Bilaspur,770.87,,,,,,
1979,Chhattisgarh,Bilaspur,332.01,,,,,,
1980,Chhattisgarh,Bilaspur,969.09,,,,,,
1981,Chhattisgarh,Bilaspur,883.45,,,,,,
1982,Chhattisgarh,Bilaspur,616.57,,,,,,
1983,Chhattisgarh,Bilaspur,1006.04,,,,,,
1984,Chhattisgarh,Bilaspur,833.64,,,,,,
1985,Chhattisgarh,Bilaspur,1376.44,,,,,,
1986,Chhattisgarh,Bilaspur,1365.82,,,,,,
1987,Chhattisgarh,Bilaspur,1079.94,,,,,,
1988,Chhattisgarh,Bilaspur,1372.92,,,,,,
1989,Chhattisgarh,Bilaspur,1040.21,,,,,,
1990,Chhattisgarh,Bilaspur,1398.4,,,,,,
1991,Chhattisgarh,Bilaspur,1296.55,,,,,,
1992,Chhattisgarh,Bilaspur,1046.83,,,,,,
1993,Chhattisgarh,Bilaspur,1351.81,,,,,,
1994,Chhattisgarh,Bilaspur,1617.9,,,,,,
1995,Chhattisgarh,Bilaspur,1331.5,,,,,,
1996,Chhattisgarh,Bilaspur,1340.84,,,,,,
1997,Chhattisgarh,Bilaspur,495.81,,,,,,
1998,Chhattisgarh,Bilaspur,812.27,,,,,,
1999,Chhattisgarh,Bilaspur,1498.18,,,,,,
2000,Chhattisgarh,Bilaspur,621.31,,,,,,
2001,Chhattisgarh,Bilaspur,1422.13,,,,,,
2002,Chhattisgarh,Bilaspur,875.59,,,,,,
2003,Chhattisgarh,Bilaspur,1424.48,,,,,,
2004,Chhattisgarh,Bilaspur,1228.45,,,,,,
2005,Chhattisgarh,Bilaspur,1228.45,,,,,,
2006,Chhattisgarh,Bilaspur,1581.33,,,,,,
2007,Chhattisgarh,Bilaspur,1619.32,,,,,,
2008,Chhattisgarh,Bilaspur,1428.76,,,,,,
2009,Chhattisgarh,Bilaspur,1427.57,,,,,,
2010,Chhattisgarh,Bilaspur,1889.83,,,,,,
2011,Chhattisgarh,Bilaspur,2079.01,,,,,,
2012,Chhattisgarh,Bilaspur,2337.61,,,,,,
2013,Chhattisgarh,Bilaspur,2171.95,,,,,,
2014,Chhattisgarh,Bilaspur,2310.43,,,,,,
2015,Chhattisgarh,Bilaspur,1831.92,,,,,,
2016,Chhattisgarh,Bilaspur,2554.21,,,,,,
2017,Chhattisgarh,Bilaspur,1779.97,,,,,,
1966,Chhattisgarh,Raigarh,611.45,,,,,,
1967,Chhattisgarh,Raigarh,834.83,,,,,,
1968,Chhattisgarh,Raigarh,786.68,,,,,,
1969,Chhattisgarh,Raigarh,744.71,,,,,,
1970,Chhattisgarh,Raigarh,802.75,,,,,,
1971,Chhattisgarh,Raigarh,700.23,,,,,,
1972,Chhattisgarh,Raigarh,616.57,,,,,,
1973,Chhattisgarh,Raigarh,908.07,,,,,,
1974,Chhattisgarh,Raigarh,654.59,,,,,,
1975,Chhattisgarh,Raigarh,888.26,,,,,,
1976,Chhattisgarh,Raigarh,563.38,,,,,,
1977,Chhattisgarh,Raigarh,977.01,,,,,,
1978,Chhattisgarh,Raigarh,810.71,,,,,,
1979,Chhattisgarh,Raigarh,411.98,,,,,,
1980,Chhattisgarh,Raigarh,903.8,,,,,,
1981,Chhattisgarh,Raigarh,876.07,,,,,,
1982,Chhattisgarh,Raigarh,728.3,,,,,,
1983,Chhattisgarh,Raigarh,964.54,,,,,,
1984,Chhattisgarh,Raigarh,772.24,,,,,,
1985,Chhattisgarh,Raigarh,963.61,,,,,,
