Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1989,Gujarat,Surendranagar,1800.0,,,,,,
1990,Gujarat,Surendranagar,2000.0,,,,,,
1991,Gujarat,Surendranagar,1600.0,,,,,,
1992,Gujarat,Surendranagar,2000.0,,,,,,
1993,Gujarat,Surendranagar,2000.0,,,,,,
1994,Gujarat,Surendranagar,2000.0,,,,,,
1995,Gujarat,Surendranagar,1875.0,,,,,,
1996,Gujarat,Surendranagar,1750.0,,,,,,
1997,Gujarat,Surendranagar,1857.14,,,,,,
1998,Gujarat,Surendranagar,2000.0,,,,,,
1999,Gujarat,Surendranagar,1875.0,,,,,,
2000,Gujarat,Surendranagar,1000.0,,,,,,
2001,Gujarat,Surendranagar,1285.71,,,,,,
2002,Gujarat,Surendranagar,1400.0,,,,,,
2003,Gujarat,Surendranagar,1500.0,,,,,,
2004,Gujarat,Surendranagar,0.0,,,,,,
2005,Gujarat,Surendranagar,2200.0,,,,,,
2006,Gujarat,Surendranagar,1800.0,,,,,,
2007,Gujarat,Surendranagar,1875.0,,,,,,
2008,Gujarat,Surendranagar,1111.11,,,,,,
2009,Gujarat,Surendranagar,1000.0,,,,,,
2010,Gujarat,Surendranagar,0.0,,,,,,
2011,Gujarat,Surendranagar,2400.0,,,,,,
2012,Gujarat,Surendranagar,2000.0,,,,,,
2013,Gujarat,Surendranagar,1565.22,,,,,,
2014,Gujarat,Surendranagar,0.0,,,,,,
2015,Gujarat,Surendranagar,2515.15,,,,,,
2016,Gujarat,Surendranagar,2596.77,,,,,,
2017,Gujarat,Surendranagar,1853.77,,,,,,
1966,Rajasthan,Ajmer,1000.0,,,,,,
1967,Rajasthan,Ajmer,1000.0,,,,,,
1968,Rajasthan,Ajmer,1000.0,,,,,,
1969,Rajasthan,Ajmer,1000.0,,,,,,
1970,Rajasthan,Ajmer,1000.0,,,,,,
1971,Rajasthan,Ajmer,0.0,,,,,,
1972,Rajasthan,Ajmer,0.0,,,,,,
1973,Rajasthan,Ajmer,0.0,,,,,,
1974,Rajasthan,Ajmer,0.0,,,,,,
1975,Rajasthan,Ajmer,0.0,,,,,,
1976,Rajasthan,Ajmer,1666.67,,,,,,
1977,Rajasthan,Ajmer,1333.33,,,,,,
1978,Rajasthan,Ajmer,1333.33,,,,,,
1979,Rajasthan,Ajmer,333.33,,,,,,
1980,Rajasthan,Ajmer,1000.0,,,,,,
1981,Rajasthan,Ajmer,1000.0,,,,,,
1982,Rajasthan,Ajmer,1000.0,,,,,,
1983,Rajasthan,Ajmer,1500.0,,,,,,
1984,Rajasthan,Ajmer,1000.0,,,,,,
1985,Rajasthan,Ajmer,0.0,,,,,,
1986,Rajasthan,Ajmer,0.0,,,,,,
1987,Rajasthan,Ajmer,0.0,,,,,,
1988,Rajasthan,Ajmer,0.0,,,,,,
1989,Rajasthan,Ajmer,0.0,,,,,,
1990,Rajasthan,Ajmer,1250.0,,,,,,
1991,Rajasthan,Ajmer,800.0,,,,,,
1992,Rajasthan,Ajmer,1230.77,,,,,,
1993,Rajasthan,Ajmer,1000.0,,,,,,
1994,Rajasthan,Ajmer,2000.0,,,,,,
1995,Rajasthan,Ajmer,833.33,,,,,,
1996,Rajasthan,Ajmer,1200.0,,,,,,
1997,Rajasthan,Ajmer,1166.67,,,,,,
1998,Rajasthan,Ajmer,1000.0,,,,,,
1999,Rajasthan,Ajmer,1285.71,,,,,,
2000,Rajasthan,Ajmer,1000.0,,,,,,
2001,Rajasthan,Ajmer,1200.0,,,,,,
2002,Rajasthan,Ajmer,0.0,,,,,,
2003,Rajasthan,Ajmer,1333.33,,,,,,
2004,Rajasthan,Ajmer,1500.0,,,,,,
2005,Rajasthan,Ajmer,2000.0,,,,,,
2006,Rajasthan,Ajmer,1000.0,,,,,,
2007,Rajasthan,Ajmer,1000.0,,,,,,
2008,Rajasthan,Ajmer,0.0,,,,,,
2009,Rajasthan,Ajmer,1000.0,,,,,,
2010,Rajasthan,Ajmer,2000.0,,,,,,
2011,Rajasthan,Ajmer,2000.0,,,,,,
2012,Rajasthan,Ajmer,1000.0,,,,,,
2013,Rajasthan,Ajmer,1000.0,,,,,,
2014,Rajasthan,Ajmer,2000.0,,,,,,
2015,Rajasthan,Ajmer,0.0,,,,,,
2016,Rajasthan,Ajmer,2285.71,,,,,,
2017,Rajasthan,Ajmer,2333.33,,,,,,
1966,Rajasthan,Alwar,0.0,,,,,,
1967,Rajasthan,Alwar,0.0,,,,,,
1968,Rajasthan,Alwar,0.0,,,,,,
1969,Rajasthan,Alwar,0.0,,,,,,
1970,Rajasthan,Alwar,666.67,,,,,,
1971,Rajasthan,Alwar,800.0,,,,,,
1972,Rajasthan,Alwar,400.0,,,,,,
1973,Rajasthan,Alwar,500.0,,,,,,
1974,Rajasthan,Alwar,3333.33,,,,,,
1975,Rajasthan,Alwar,400.0,,,,,,
1976,Rajasthan,Alwar,1285.71,,,,,,
1977,Rajasthan,Alwar,1285.71,,,,,,
1978,Rajasthan,Alwar,1071.43,,,,,,
1979,Rajasthan,Alwar,571.43,,,,,,
1980,Rajasthan,Alwar,800.0,,,,,,
1981,Rajasthan,Alwar,1000.0,,,,,,
1982,Rajasthan,Alwar,1000.0,,,,,,
1983,Rajasthan,Alwar,1000.0,,,,,,
1984,Rajasthan,Alwar,1000.0,,,,,,
1985,Rajasthan,Alwar,500.0,,,,,,
1986,Rajasthan,Alwar,1000.0,,,,,,
1987,Rajasthan,Alwar,0.0,,,,,,
1988,Rajasthan,Alwar,1000.0,,,,,,
1989,Rajasthan,Alwar,0.0,,,,,,
1990,Rajasthan,Alwar,1250.0,,,,,,
1991,Rajasthan,Alwar,1000.0,,,,,,
1992,Rajasthan,Alwar,1166.67,,,,,,
1993,Rajasthan,Alwar,1000.0,,,,,,
1994,Rajasthan,Alwar,1947.37,,,,,,
1995,Rajasthan,Alwar,833.33,,,,,,
1996,Rajasthan,Alwar,1166.67,,,,,,
1997,Rajasthan,Alwar,1153.85,,,,,,
1998,Rajasthan,Alwar,1236.84,,,,,,
1999,Rajasthan,Alwar,1245.9,,,,,,
2000,Rajasthan,Alwar,925.0,,,,,,
2001,Rajasthan,Alwar,1259.26,,,,,,
2002,Rajasthan,Alwar,800.0,,,,,,
2003,Rajasthan,Alwar,1625.0,,,,,,
2004,Rajasthan,Alwar,1500.0,,,,,,
2005,Rajasthan,Alwar,1461.54,,,,,,
2006,Rajasthan,Alwar,1538.46,,,,,,
2007,Rajasthan,Alwar,2000.0,,,,,,
2008,Rajasthan,Alwar,1777.78,,,,,,
2009,Rajasthan,Alwar,1485.71,,,,,,
2010,Rajasthan,Alwar,2026.32,,,,,,
2011,Rajasthan,Alwar,1868.42,,,,,,
2012,Rajasthan,Alwar,1759.49,,,,,,
2013,Rajasthan,Alwar,2150.0,,,,,,
2014,Rajasthan,Alwar,2200.0,,,,,,
2015,Rajasthan,Alwar,2000.0,,,,,,
2016,Rajasthan,Alwar,2289.47,,,,,,
2017,Rajasthan,Alwar,2367.09,,,,,,
1966,Rajasthan,Banswara,125.0,,,,,,
1967,Rajasthan,Banswara,1500.0,,,,,,
1968,Rajasthan,Banswara,361.76,,,,,,
1969,Rajasthan,Banswara,1218.75,,,,,,
1970,Rajasthan,Banswara,1472.22,,,,,,
1971,Rajasthan,Banswara,1500.0,,,,,,
1972,Rajasthan,Banswara,242.42,,,,,,
1973,Rajasthan,Banswara,702.7,,,,,,
1974,Rajasthan,Banswara,128.85,,,,,,
1975,Rajasthan,Banswara,1589.04,,,,,,
1976,Rajasthan,Banswara,962.22,,,,,,
1977,Rajasthan,Banswara,731.4,,,,,,
1978,Rajasthan,Banswara,771.2,,,,,,
1979,Rajasthan,Banswara,144.03,,,,,,
1980,Rajasthan,Banswara,350.0,,,,,,
1981,Rajasthan,Banswara,664.35,,,,,,
1982,Rajasthan,Banswara,200.0,,,,,,
1983,Rajasthan,Banswara,899.31,,,,,,
1984,Rajasthan,Banswara,619.83,,,,,,
1985,Rajasthan,Banswara,52.22,,,,,,
1986,Rajasthan,Banswara,300.0,,,,,,
1987,Rajasthan,Banswara,294.12,,,,,,
1988,Rajasthan,Banswara,1222.22,,,,,,
1989,Rajasthan,Banswara,838.27,,,,,,
1990,Rajasthan,Banswara,644.61,,,,,,
1991,Rajasthan,Banswara,612.27,,,,,,
1992,Rajasthan,Banswara,969.35,,,,,,
1993,Rajasthan,Banswara,808.87,,,,,,
1994,Rajasthan,Banswara,639.68,,,,,,
1995,Rajasthan,Banswara,357.06,,,,,,
1996,Rajasthan,Banswara,822.59,,,,,,
1997,Rajasthan,Banswara,945.5,,,,,,
1998,Rajasthan,Banswara,1048.66,,,,,,
1999,Rajasthan,Banswara,661.29,,,,,,
2000,Rajasthan,Banswara,58.88,,,,,,
2001,Rajasthan,Banswara,343.53,,,,,,
2002,Rajasthan,Banswara,298.38,,,,,,
2003,Rajasthan,Banswara,829.6,,,,,,
2004,Rajasthan,Banswara,659.37,,,,,,
2005,Rajasthan,Banswara,656.12,,,,,,
2006,Rajasthan,Banswara,564.21,,,,,,
2007,Rajasthan,Banswara,1302.37,,,,,,
2008,Rajasthan,Banswara,414.99,,,,,,
2009,Rajasthan,Banswara,425.4,,,,,,
2010,Rajasthan,Banswara,673.37,,,,,,
2011,Rajasthan,Banswara,1297.65,,,,,,
2012,Rajasthan,Banswara,1071.85,,,,,,
2013,Rajasthan,Banswara,982.68,,,,,,
2014,Rajasthan,Banswara,657.08,,,,,,
2015,Rajasthan,Banswara,520.72,,,,,,
2016,Rajasthan,Banswara,1055.47,,,,,,
2017,Rajasthan,Banswara,1022.5,,,,,,
1966,Rajasthan,Barmer,0.0,,,,,,
1967,Rajasthan,Barmer,0.0,,,,,,
1968,Rajasthan,Barmer,0.0,,,,,,
1969,Rajasthan,Barmer,0.0,,,,,,
1970,Rajasthan,Barmer,0.0,,,,,,
1971,Rajasthan,Barmer,0.0,,,,,,
1972,Rajasthan,Barmer,0.0,,,,,,
1973,Rajasthan,Barmer,0.0,,,,,,
1974,Rajasthan,Barmer,0.0,,,,,,
1975,Rajasthan,Barmer,0.0,,,,,,
1976,Rajasthan,Barmer,0.0,,,,,,
1977,Rajasthan,Barmer,0.0,,,,,,
1978,Rajasthan,Barmer,0.0,,,,,,
1979,Rajasthan,Barmer,0.0,,,,,,
1980,Rajasthan,Barmer,0.0,,,,,,
1981,Rajasthan,Barmer,0.0,,,,,,
1982,Rajasthan,Barmer,0.0,,,,,,
1983,Rajasthan,Barmer,0.0,,,,,,
1984,Rajasthan,Barmer,0.0,,,,,,
1985,Rajasthan,Barmer,0.0,,,,,,
1986,Rajasthan,Barmer,0.0,,,,,,
1987,Rajasthan,Barmer,0.0,,,,,,
1988,Rajasthan,Barmer,0.0,,,,,,
1989,Rajasthan,Barmer,0.0,,,,,,
1990,Rajasthan,Barmer,0.0,,,,,,
1991,Rajasthan,Barmer,0.0,,,,,,
1992,Rajasthan,Barmer,0.0,,,,,,
1993,Rajasthan,Barmer,0.0,,,,,,
1994,Rajasthan,Barmer,0.0,,,,,,
1995,Rajasthan,Barmer,0.0,,,,,,
1996,Rajasthan,Barmer,0.0,,,,,,
1997,Rajasthan,Barmer,0.0,,,,,,
1998,Rajasthan,Barmer,0.0,,,,,,
1999,Rajasthan,Barmer,0.0,,,,,,
2000,Rajasthan,Barmer,0.0,,,,,,
2001,Rajasthan,Barmer,0.0,,,,,,
2002,Rajasthan,Barmer,0.0,,,,,,
2003,Rajasthan,Barmer,0.0,,,,,,
2004,Rajasthan,Barmer,0.0,,,,,,
2005,Rajasthan,Barmer,0.0,,,,,,
2006,Rajasthan,Barmer,0.0,,,,,,
2007,Rajasthan,Barmer,0.0,,,,,,
2008,Rajasthan,Barmer,0.0,,,,,,
2009,Rajasthan,Barmer,0.0,,,,,,
2010,Rajasthan,Barmer,0.0,,,,,,
2011,Rajasthan,Barmer,0.0,,,,,,
2012,Rajasthan,Barmer,0.0,,,,,,
2013,Rajasthan,Barmer,0.0,,,,,,
2014,Rajasthan,Barmer,0.0,,,,,,
2015,Rajasthan,Barmer,0.0,,,,,,
2016,Rajasthan,Barmer,0.0,,,,,,
2017,Rajasthan,Barmer,0.0,,,,,,
1966,Rajasthan,Bharatpur,666.67,,,,,,
1967,Rajasthan,Bharatpur,333.33,,,,,,
1968,Rajasthan,Bharatpur,434.78,,,,,,
1969,Rajasthan,Bharatpur,250.0,,,,,,
1970,Rajasthan,Bharatpur,400.0,,,,,,
1971,Rajasthan,Bharatpur,500.0,,,,,,
1972,Rajasthan,Bharatpur,333.33,,,,,,
1973,Rajasthan,Bharatpur,1000.0,,,,,,
1974,Rajasthan,Bharatpur,1000.0,,,,,,
1975,Rajasthan,Bharatpur,1116.67,,,,,,
1976,Rajasthan,Bharatpur,307.69,,,,,,
1977,Rajasthan,Bharatpur,550.72,,,,,,
1978,Rajasthan,Bharatpur,805.97,,,,,,
1979,Rajasthan,Bharatpur,60.0,,,,,,
1980,Rajasthan,Bharatpur,435.9,,,,,,
1981,Rajasthan,Bharatpur,423.08,,,,,,
1982,Rajasthan,Bharatpur,1500.0,,,,,,
1983,Rajasthan,Bharatpur,933.33,,,,,,
1984,Rajasthan,Bharatpur,821.43,,,,,,
1985,Rajasthan,Bharatpur,1171.43,,,,,,
1986,Rajasthan,Bharatpur,333.33,,,,,,
1987,Rajasthan,Bharatpur,1000.0,,,,,,
1988,Rajasthan,Bharatpur,1250.0,,,,,,
1989,Rajasthan,Bharatpur,1266.67,,,,,,
1990,Rajasthan,Bharatpur,1508.13,,,,,,
1991,Rajasthan,Bharatpur,1571.43,,,,,,
1992,Rajasthan,Bharatpur,1958.33,,,,,,
1993,Rajasthan,Bharatpur,1106.06,,,,,,
1994,Rajasthan,Bharatpur,1531.6,,,,,,
1995,Rajasthan,Bharatpur,474.54,,,,,,
1996,Rajasthan,Bharatpur,1132.93,,,,,,
1997,Rajasthan,Bharatpur,1055.93,,,,,,
1998,Rajasthan,Bharatpur,1186.08,,,,,,
1999,Rajasthan,Bharatpur,1549.42,,,,,,
2000,Rajasthan,Bharatpur,1156.91,,,,,,
2001,Rajasthan,Bharatpur,1300.65,,,,,,
2002,Rajasthan,Bharatpur,738.74,,,,,,
2003,Rajasthan,Bharatpur,1319.15,,,,,,
2004,Rajasthan,Bharatpur,1085.0,,,,,,
2005,Rajasthan,Bharatpur,2038.0,,,,,,
2006,Rajasthan,Bharatpur,1049.3,,,,,,
2007,Rajasthan,Bharatpur,1801.72,,,,,,
2008,Rajasthan,Bharatpur,1336.84,,,,,,
2009,Rajasthan,Bharatpur,1704.92,,,,,,
2010,Rajasthan,Bharatpur,2018.02,,,,,,
2011,Rajasthan,Bharatpur,2380.14,,,,,,
2012,Rajasthan,Bharatpur,1959.73,,,,,,
2013,Rajasthan,Bharatpur,2004.24,,,,,,
2014,Rajasthan,Bharatpur,2193.18,,,,,,
2015,Rajasthan,Bharatpur,2291.19,,,,,,
2016,Rajasthan,Bharatpur,2283.62,,,,,,
2017,Rajasthan,Bharatpur,2209.1,,,,,,
1966,Rajasthan,Bhilwara,0.0,,,,,,
1967,Rajasthan,Bhilwara,0.0,,,,,,
1968,Rajasthan,Bhilwara,0.0,,,,,,
1969,Rajasthan,Bhilwara,0.0,,,,,,
1970,Rajasthan,Bhilwara,1000.0,,,,,,
1971,Rajasthan,Bhilwara,1000.0,,,,,,
1972,Rajasthan,Bhilwara,666.67,,,,,,
1973,Rajasthan,Bhilwara,500.0,,,,,,
1974,Rajasthan,Bhilwara,0.0,,,,,,
1975,Rajasthan,Bhilwara,1000.0,,,,,,
1976,Rajasthan,Bhilwara,1000.0,,,,,,
1977,Rajasthan,Bhilwara,1000.0,,,,,,
1978,Rajasthan,Bhilwara,1000.0,,,,,,
1979,Rajasthan,Bhilwara,1000.0,,,,,,
1980,Rajasthan,Bhilwara,1000.0,,,,,,
1981,Rajasthan,Bhilwara,0.0,,,,,,
1982,Rajasthan,Bhilwara,0.0,,,,,,
1983,Rajasthan,Bhilwara,0.0,,,,,,
1984,Rajasthan,Bhilwara,0.0,,,,,,
1985,Rajasthan,Bhilwara,0.0,,,,,,
1986,Rajasthan,Bhilwara,0.0,,,,,,
1987,Rajasthan,Bhilwara,0.0,,,,,,
1988,Rajasthan,Bhilwara,0.0,,,,,,
1989,Rajasthan,Bhilwara,0.0,,,,,,
1990,Rajasthan,Bhilwara,1000.0,,,,,,
1991,Rajasthan,Bhilwara,0.0,,,,,,
1992,Rajasthan,Bhilwara,1000.0,,,,,,
1993,Rajasthan,Bhilwara,1000.0,,,,,,
1994,Rajasthan,Bhilwara,2166.67,,,,,,
1995,Rajasthan,Bhilwara,888.89,,,,,,
1996,Rajasthan,Bhilwara,1166.67,,,,,,
1997,Rajasthan,Bhilwara,1187.5,,,,,,
1998,Rajasthan,Bhilwara,1205.88,,,,,,
1999,Rajasthan,Bhilwara,1256.1,,,,,,
2000,Rajasthan,Bhilwara,935.48,,,,,,
2001,Rajasthan,Bhilwara,1230.77,,,,,,
2002,Rajasthan,Bhilwara,833.33,,,,,,
2003,Rajasthan,Bhilwara,1631.58,,,,,,
2004,Rajasthan,Bhilwara,1500.0,,,,,,
2005,Rajasthan,Bhilwara,1448.28,,,,,,
2006,Rajasthan,Bhilwara,1571.43,,,,,,
2007,Rajasthan,Bhilwara,2000.0,,,,,,
2008,Rajasthan,Bhilwara,1785.71,,,,,,
2009,Rajasthan,Bhilwara,1511.63,,,,,,
2010,Rajasthan,Bhilwara,2025.64,,,,,,
2011,Rajasthan,Bhilwara,1864.86,,,,,,
2012,Rajasthan,Bhilwara,1730.77,,,,,,
2013,Rajasthan,Bhilwara,2172.41,,,,,,
2014,Rajasthan,Bhilwara,2196.08,,,,,,
2015,Rajasthan,Bhilwara,2000.0,,,,,,
2016,Rajasthan,Bhilwara,2289.32,,,,,,
2017,Rajasthan,Bhilwara,2366.32,,,,,,
1966,Rajasthan,Bikaner,0.0,,,,,,
1967,Rajasthan,Bikaner,0.0,,,,,,
1968,Rajasthan,Bikaner,0.0,,,,,,
1969,Rajasthan,Bikaner,0.0,,,,,,
1970,Rajasthan,Bikaner,0.0,,,,,,
1971,Rajasthan,Bikaner,1000.0,,,,,,
1972,Rajasthan,Bikaner,0.0,,,,,,
1973,Rajasthan,Bikaner,1000.0,,,,,,
1974,Rajasthan,Bikaner,0.0,,,,,,
1975,Rajasthan,Bikaner,500.0,,,,,,
1976,Rajasthan,Bikaner,2000.0,,,,,,
1977,Rajasthan,Bikaner,2000.0,,,,,,
1978,Rajasthan,Bikaner,1000.0,,,,,,
1979,Rajasthan,Bikaner,500.0,,,,,,
1980,Rajasthan,Bikaner,1000.0,,,,,,
1981,Rajasthan,Bikaner,0.0,,,,,,
1982,Rajasthan,Bikaner,1000.0,,,,,,
1983,Rajasthan,Bikaner,0.0,,,,,,
1984,Rajasthan,Bikaner,0.0,,,,,,
1985,Rajasthan,Bikaner,0.0,,,,,,
1986,Rajasthan,Bikaner,1000.0,,,,,,
1987,Rajasthan,Bikaner,1000.0,,,,,,
1988,Rajasthan,Bikaner,0.0,,,,,,
1989,Rajasthan,Bikaner,0.0,,,,,,
1990,Rajasthan,Bikaner,1000.0,,,,,,
1991,Rajasthan,Bikaner,0.0,,,,,,
1992,Rajasthan,Bikaner,0.0,,,,,,
1993,Rajasthan,Bikaner,1000.0,,,,,,
1994,Rajasthan,Bikaner,2000.0,,,,,,
1995,Rajasthan,Bikaner,0.0,,,,,,
1996,Rajasthan,Bikaner,0.0,,,,,,
1997,Rajasthan,Bikaner,0.0,,,,,,
1998,Rajasthan,Bikaner,0.0,,,,,,
1999,Rajasthan,Bikaner,1333.33,,,,,,
2000,Rajasthan,Bikaner,1000.0,,,,,,
2001,Rajasthan,Bikaner,0.0,,,,,,
2002,Rajasthan,Bikaner,0.0,,,,,,
2003,Rajasthan,Bikaner,2000.0,,,,,,
2004,Rajasthan,Bikaner,1500.0,,,,,,
2005,Rajasthan,Bikaner,1500.0,,,,,,
2006,Rajasthan,Bikaner,1000.0,,,,,,
2007,Rajasthan,Bikaner,0.0,,,,,,
2008,Rajasthan,Bikaner,1777.78,,,,,,
2009,Rajasthan,Bikaner,1666.67,,,,,,
2010,Rajasthan,Bikaner,2000.0,,,,,,
2011,Rajasthan,Bikaner,2000.0,,,,,,
2012,Rajasthan,Bikaner,1666.67,,,,,,
2013,Rajasthan,Bikaner,2000.0,,,,,,
2014,Rajasthan,Bikaner,2000.0,,,,,,
2015,Rajasthan,Bikaner,1500.0,,,,,,
2016,Rajasthan,Bikaner,2250.0,,,,,,
2017,Rajasthan,Bikaner,0.0,,,,,,
1966,Rajasthan,Bundi,500.0,,,,,,
1967,Rajasthan,Bundi,750.0,,,,,,
1968,Rajasthan,Bundi,800.0,,,,,,
1969,Rajasthan,Bundi,1000.0,,,,,,
1970,Rajasthan,Bundi,1000.0,,,,,,
1971,Rajasthan,Bundi,1000.0,,,,,,
1972,Rajasthan,Bundi,1000.0,,,,,,
1973,Rajasthan,Bundi,1000.0,,,,,,
1974,Rajasthan,Bundi,2000.0,,,,,,
1975,Rajasthan,Bundi,2323.53,,,,,,
1976,Rajasthan,Bundi,1242.24,,,,,,
1977,Rajasthan,Bundi,1520.96,,,,,,
1978,Rajasthan,Bundi,1751.04,,,,,,
1979,Rajasthan,Bundi,1089.22,,,,,,
1980,Rajasthan,Bundi,1003.77,,,,,,
1981,Rajasthan,Bundi,1937.06,,,,,,
1982,Rajasthan,Bundi,1710.84,,,,,,
1983,Rajasthan,Bundi,1395.35,,,,,,
1984,Rajasthan,Bundi,1565.52,,,,,,
1985,Rajasthan,Bundi,1255.03,,,,,,
1986,Rajasthan,Bundi,1142.86,,,,,,
1987,Rajasthan,Bundi,1473.68,,,,,,
1988,Rajasthan,Bundi,1705.88,,,,,,
1989,Rajasthan,Bundi,1475.0,,,,,,
1990,Rajasthan,Bundi,1691.28,,,,,,
1991,Rajasthan,Bundi,1560.85,,,,,,
1992,Rajasthan,Bundi,1584.83,,,,,,
1993,Rajasthan,Bundi,1513.93,,,,,,
1994,Rajasthan,Bundi,1306.22,,,,,,
1995,Rajasthan,Bundi,1412.9,,,,,,
1996,Rajasthan,Bundi,1554.33,,,,,,
1997,Rajasthan,Bundi,1370.92,,,,,,
1998,Rajasthan,Bundi,1323.75,,,,,,
1999,Rajasthan,Bundi,1318.53,,,,,,
2000,Rajasthan,Bundi,785.92,,,,,,
2001,Rajasthan,Bundi,1060.75,,,,,,
2002,Rajasthan,Bundi,428.73,,,,,,
2003,Rajasthan,Bundi,1983.87,,,,,,
2004,Rajasthan,Bundi,1851.24,,,,,,
2005,Rajasthan,Bundi,1420.93,,,,,,
2006,Rajasthan,Bundi,1720.81,,,,,,
2007,Rajasthan,Bundi,2330.58,,,,,,
2008,Rajasthan,Bundi,1849.86,,,,,,
2009,Rajasthan,Bundi,867.5,,,,,,
2010,Rajasthan,Bundi,1876.42,,,,,,
2011,Rajasthan,Bundi,1631.86,,,,,,
2012,Rajasthan,Bundi,1977.21,,,,,,
2013,Rajasthan,Bundi,2441.47,,,,,,
2014,Rajasthan,Bundi,2220.84,,,,,,
2015,Rajasthan,Bundi,2228.3,,,,,,
2016,Rajasthan,Bundi,2672.73,,,,,,
2017,Rajasthan,Bundi,2831.55,,,,,,
1966,Rajasthan,Chittorgarh,1000.0,,,,,,
1967,Rajasthan,Chittorgarh,500.0,,,,,,
1968,Rajasthan,Chittorgarh,454.55,,,,,,
1969,Rajasthan,Chittorgarh,142.86,,,,,,
1970,Rajasthan,Chittorgarh,1000.0,,,,,,
1971,Rajasthan,Chittorgarh,500.0,,,,,,
1972,Rajasthan,Chittorgarh,333.33,,,,,,
1973,Rajasthan,Chittorgarh,333.33,,,,,,
1974,Rajasthan,Chittorgarh,333.33,,,,,,
1975,Rajasthan,Chittorgarh,833.33,,,,,,
1976,Rajasthan,Chittorgarh,400.0,,,,,,
1977,Rajasthan,Chittorgarh,193.55,,,,,,
1978,Rajasthan,Chittorgarh,416.67,,,,,,
1979,Rajasthan,Chittorgarh,93.75,,,,,,
1980,Rajasthan,Chittorgarh,818.18,,,,,,
1981,Rajasthan,Chittorgarh,541.67,,,,,,
1982,Rajasthan,Chittorgarh,300.0,,,,,,
1983,Rajasthan,Chittorgarh,892.86,,,,,,
1984,Rajasthan,Chittorgarh,925.93,,,,,,
1985,Rajasthan,Chittorgarh,318.18,,,,,,
1986,Rajasthan,Chittorgarh,500.0,,,,,,
1987,Rajasthan,Chittorgarh,83.33,,,,,,
1988,Rajasthan,Chittorgarh,916.67,,,,,,
1989,Rajasthan,Chittorgarh,600.0,,,,,,
1990,Rajasthan,Chittorgarh,977.78,,,,,,
1991,Rajasthan,Chittorgarh,367.35,,,,,,
1992,Rajasthan,Chittorgarh,721.43,,,,,,
1993,Rajasthan,Chittorgarh,520.41,,,,,,
1994,Rajasthan,Chittorgarh,2007.46,,,,,,
1995,Rajasthan,Chittorgarh,842.59,,,,,,
1996,Rajasthan,Chittorgarh,1185.19,,,,,,
1997,Rajasthan,Chittorgarh,1165.05,,,,,,
1998,Rajasthan,Chittorgarh,1216.0,,,,,,
1999,Rajasthan,Chittorgarh,1261.68,,,,,,
2000,Rajasthan,Chittorgarh,930.23,,,,,,
2001,Rajasthan,Chittorgarh,1246.58,,,,,,
2002,Rajasthan,Chittorgarh,808.22,,,,,,
2003,Rajasthan,Chittorgarh,1641.03,,,,,,
2004,Rajasthan,Chittorgarh,1478.87,,,,,,
2005,Rajasthan,Chittorgarh,1469.7,,,,,,
2006,Rajasthan,Chittorgarh,1573.77,,,,,,
2007,Rajasthan,Chittorgarh,2034.88,,,,,,
2008,Rajasthan,Chittorgarh,1810.61,,,,,,
2009,Rajasthan,Chittorgarh,1510.56,,,,,,
2010,Rajasthan,Chittorgarh,2018.19,,,,,,
2011,Rajasthan,Chittorgarh,1882.79,,,,,,
2012,Rajasthan,Chittorgarh,1761.85,,,,,,
2013,Rajasthan,Chittorgarh,2133.93,,,,,,
2014,Rajasthan,Chittorgarh,2178.02,,,,,,
2015,Rajasthan,Chittorgarh,2015.79,,,,,,
2016,Rajasthan,Chittorgarh,1590.23,,,,,,
2017,Rajasthan,Chittorgarh,2314.17,,,,,,
1966,Rajasthan,Churu,0.0,,,,,,
1967,Rajasthan,Churu,0.0,,,,,,
1968,Rajasthan,Churu,0.0,,,,,,
1969,Rajasthan,Churu,0.0,,,,,,
1970,Rajasthan,Churu,0.0,,,,,,
1971,Rajasthan,Churu,0.0,,,,,,
1972,Rajasthan,Churu,0.0,,,,,,
1973,Rajasthan,Churu,0.0,,,,,,
1974,Rajasthan,Churu,0.0,,,,,,
1975,Rajasthan,Churu,0.0,,,,,,
1976,Rajasthan,Churu,0.0,,,,,,
1977,Rajasthan,Churu,0.0,,,,,,
1978,Rajasthan,Churu,0.0,,,,,,
1979,Rajasthan,Churu,0.0,,,,,,
1980,Rajasthan,Churu,0.0,,,,,,
1981,Rajasthan,Churu,0.0,,,,,,
1982,Rajasthan,Churu,0.0,,,,,,
1983,Rajasthan,Churu,0.0,,,,,,
1984,Rajasthan,Churu,0.0,,,,,,
1985,Rajasthan,Churu,0.0,,,,,,
1986,Rajasthan,Churu,2000.0,,,,,,
1987,Rajasthan,Churu,0.0,,,,,,
1988,Rajasthan,Churu,0.0,,,,,,
1989,Rajasthan,Churu,0.0,,,,,,
1990,Rajasthan,Churu,0.0,,,,,,
1991,Rajasthan,Churu,0.0,,,,,,
1992,Rajasthan,Churu,0.0,,,,,,
1993,Rajasthan,Churu,0.0,,,,,,
1994,Rajasthan,Churu,0.0,,,,,,
1995,Rajasthan,Churu,0.0,,,,,,
1996,Rajasthan,Churu,0.0,,,,,,
1997,Rajasthan,Churu,0.0,,,,,,
